securities_trader,price,buy,sell,securities_trader_id,stock_id,date
合庫,130.0,2000,0,1020,0050,2023-12-05
合庫,130.05,41000,0,1020,0050,2023-12-05
合庫,130.1,18050,181,1020,0050,2023-12-05
合庫,130.15,5050,0,1020,0050,2023-12-05
合庫,130.2,1280,0,1020,0050,2023-12-05
合庫,130.25,11100,0,1020,0050,2023-12-05
合庫,130.3,0,31000,1020,0050,2023-12-05
合庫,130.35,1000,30000,1020,0050,2023-12-05
合庫,130.4,2100,2458,1020,0050,2023-12-05
合庫台中,130.0,11000,0,1021,0050,2023-12-05
合庫台中,130.05,1000,0,1021,0050,2023-12-05
合庫台中,130.1,0,1000,1021,0050,2023-12-05
合庫台中,130.15,50,0,1021,0050,2023-12-05
合庫台中,130.2,100,0,1021,0050,2023-12-05
合庫台中,130.25,100,0,1021,0050,2023-12-05
合庫台中,130.4,161,0,1021,0050,2023-12-05
合庫台中,130.45,1000,0,1021,0050,2023-12-05
合庫台南,129.9,1000,0,1022,0050,2023-12-05
合庫台南,130.0,1000,0,1022,0050,2023-12-05
合庫台南,130.15,308,0,1022,0050,2023-12-05
合庫台南,130.2,300,1000,1022,0050,2023-12-05
合庫台南,130.35,100,0,1022,0050,2023-12-05
合庫高雄,130.1,20,0,1023,0050,2023-12-05
合庫高雄,130.15,20,0,1023,0050,2023-12-05
合庫高雄,130.2,1134,0,1023,0050,2023-12-05
合庫高雄,130.25,34,0,1023,0050,2023-12-05
合庫高雄,130.3,0,1000,1023,0050,2023-12-05
合庫高雄,130.4,296,0,1023,0050,2023-12-05
合庫嘉義,130.0,11000,0,1024,0050,2023-12-05
合庫嘉義,130.1,110,0,1024,0050,2023-12-05
合庫基隆,130.1,0,1000,1025,0050,2023-12-05
合庫基隆,130.2,50,0,1025,0050,2023-12-05
合庫彰化,130.4,0,34,1028,0050,2023-12-05
合庫鳳山,129.9,1000,0,1029,0050,2023-12-05
合庫鳳山,130.0,3000,0,1029,0050,2023-12-05
合庫鳳山,130.05,1000,0,1029,0050,2023-12-05
合庫鳳山,130.1,0,230,1029,0050,2023-12-05
合庫鳳山,130.25,150,0,1029,0050,2023-12-05
合庫鳳山,130.3,76,0,1029,0050,2023-12-05
合庫鳳山,130.35,1000,0,1029,0050,2023-12-05
合庫鳳山,130.4,80,0,1029,0050,2023-12-05
合庫新竹,130.3,1000,2000,102A,0050,2023-12-05
合庫新竹,130.35,100,0,102A,0050,2023-12-05
合庫自強,129.95,1000,0,102C,0050,2023-12-05
合庫自強,130.1,161,0,102C,0050,2023-12-05
合庫自強,130.2,23,0,102C,0050,2023-12-05
合庫自強,130.25,46,0,102C,0050,2023-12-05
合庫自強,130.3,100,0,102C,0050,2023-12-05
合庫自強,130.6,0,1000,102C,0050,2023-12-05
合庫桃園,129.9,1000,0,102E,0050,2023-12-05
合庫桃園,130.0,1000,0,102E,0050,2023-12-05
合庫桃園,130.1,100,0,102E,0050,2023-12-05
合庫桃園,130.2,1000,697,102E,0050,2023-12-05
合庫桃園,130.3,1000,3000,102E,0050,2023-12-05
合庫桃園,130.4,0,100,102E,0050,2023-12-05
合庫西台,130.25,0,2000,102F,0050,2023-12-05
合庫西台,130.3,1000,234,102F,0050,2023-12-05
合庫三重,130.0,2000,2000,102G,0050,2023-12-05
合庫三重,130.2,20,0,102G,0050,2023-12-05
合庫三重,130.3,100,612,102G,0050,2023-12-05
合庫三重,130.35,0,46,102G,0050,2023-12-05
土銀,130.0,1000,0,1030,0050,2023-12-05
土銀,130.2,1000,1000,1030,0050,2023-12-05
土銀,130.4,1000,47,1030,0050,2023-12-05
土銀台中,130.05,1000,0,1031,0050,2023-12-05
土銀台中,130.2,115,0,1031,0050,2023-12-05
土銀嘉義,130.0,1000,0,1034,0050,2023-12-05
土銀新竹,130.1,100,0,1035,0050,2023-12-05
土銀新竹,130.2,164,0,1035,0050,2023-12-05
土銀新竹,130.25,1000,0,1035,0050,2023-12-05
土銀新竹,130.35,300,0,1035,0050,2023-12-05
土銀新竹,130.4,200,0,1035,0050,2023-12-05
土銀新竹,130.6,1000,0,1035,0050,2023-12-05
土銀和平,130.0,1000,0,1038,0050,2023-12-05
土銀和平,130.25,1000,0,1038,0050,2023-12-05
土銀彰化,130.1,1000,0,103B,0050,2023-12-05
土銀彰化,130.15,1000,0,103B,0050,2023-12-05
土銀南港,130.25,0,114,103F,0050,2023-12-05
臺銀,129.9,1000,0,1040,0050,2023-12-05
臺銀,130.0,3000,0,1040,0050,2023-12-05
臺銀,130.05,1000,0,1040,0050,2023-12-05
臺銀,130.1,1250,1000,1040,0050,2023-12-05
臺銀,130.15,69,0,1040,0050,2023-12-05
臺銀,130.2,200,5000,1040,0050,2023-12-05
臺銀,130.25,190,3000,1040,0050,2023-12-05
臺銀,130.3,8000,1000,1040,0050,2023-12-05
臺銀,130.35,1170,4050,1040,0050,2023-12-05
臺銀,130.4,12153,1000,1040,0050,2023-12-05
臺銀,130.45,0,1000,1040,0050,2023-12-05
臺銀,130.5,6000,0,1040,0050,2023-12-05
臺銀鳳山,130.0,1000,0,1041,0050,2023-12-05
臺銀鳳山,130.05,1000,0,1041,0050,2023-12-05
臺銀鳳山,130.1,292,0,1041,0050,2023-12-05
臺銀鳳山,130.15,192,0,1041,0050,2023-12-05
臺銀鳳山,130.2,343,0,1041,0050,2023-12-05
臺銀鳳山,130.25,170,0,1041,0050,2023-12-05
臺銀鳳山,130.3,300,385,1041,0050,2023-12-05
臺銀鳳山,130.35,100,1000,1041,0050,2023-12-05
臺銀鳳山,130.4,400,24,1041,0050,2023-12-05
臺銀臺南,130.1,150,1000,1042,0050,2023-12-05
臺銀臺南,130.15,10,0,1042,0050,2023-12-05
臺銀臺南,130.25,1600,0,1042,0050,2023-12-05
臺銀臺南,130.3,1227,0,1042,0050,2023-12-05
臺銀臺南,130.35,1000,0,1042,0050,2023-12-05
臺銀臺南,130.4,200,0,1042,0050,2023-12-05
臺銀民權,129.9,2000,0,1043,0050,2023-12-05
臺銀民權,130.0,1000,0,1043,0050,2023-12-05
臺銀民權,130.05,1000,0,1043,0050,2023-12-05
臺銀民權,130.1,3030,100,1043,0050,2023-12-05
臺銀民權,130.15,2100,0,1043,0050,2023-12-05
臺銀民權,130.2,1175,22,1043,0050,2023-12-05
臺銀民權,130.25,1074,0,1043,0050,2023-12-05
臺銀民權,130.3,1210,300,1043,0050,2023-12-05
臺銀民權,130.35,2000,0,1043,0050,2023-12-05
臺銀民權,130.4,60,20,1043,0050,2023-12-05
臺銀新竹,129.9,1000,0,1045,0050,2023-12-05
臺銀新竹,130.05,2000,0,1045,0050,2023-12-05
臺銀新竹,130.1,1040,0,1045,0050,2023-12-05
臺銀新竹,130.15,100,2000,1045,0050,2023-12-05
臺銀新竹,130.2,4400,500,1045,0050,2023-12-05
臺銀新竹,130.25,1350,100,1045,0050,2023-12-05
臺銀新竹,130.3,20,0,1045,0050,2023-12-05
臺銀新竹,130.35,1000,0,1045,0050,2023-12-05
臺銀新竹,130.4,200,0,1045,0050,2023-12-05
臺銀臺中,129.9,1000,0,104A,0050,2023-12-05
臺銀臺中,129.95,1000,0,104A,0050,2023-12-05
臺銀臺中,130.0,1000,0,104A,0050,2023-12-05
臺銀臺中,130.05,1000,1000,104A,0050,2023-12-05
臺銀臺中,130.1,1050,2000,104A,0050,2023-12-05
臺銀臺中,130.15,10,200,104A,0050,2023-12-05
臺銀臺中,130.2,220,450,104A,0050,2023-12-05
臺銀臺中,130.25,3815,2000,104A,0050,2023-12-05
臺銀臺中,130.3,36,100,104A,0050,2023-12-05
臺銀臺中,130.4,453,0,104A,0050,2023-12-05
臺銀臺中,130.45,0,1000,104A,0050,2023-12-05
臺銀高雄,130.0,1000,0,104C,0050,2023-12-05
臺銀高雄,130.05,1000,0,104C,0050,2023-12-05
臺銀高雄,130.1,10,0,104C,0050,2023-12-05
臺銀高雄,130.15,227,150,104C,0050,2023-12-05
臺銀高雄,130.2,10,1200,104C,0050,2023-12-05
臺銀高雄,130.25,100,0,104C,0050,2023-12-05
臺銀高雄,130.3,2010,0,104C,0050,2023-12-05
臺銀高雄,130.4,707,0,104C,0050,2023-12-05
臺銀金山,129.9,2000,0,104D,0050,2023-12-05
臺銀金山,129.95,1000,0,104D,0050,2023-12-05
臺銀金山,130.0,1000,0,104D,0050,2023-12-05
臺銀金山,130.1,1515,500,104D,0050,2023-12-05
臺銀金山,130.15,1000,500,104D,0050,2023-12-05
臺銀金山,130.2,1000,0,104D,0050,2023-12-05
臺銀金山,130.25,1010,0,104D,0050,2023-12-05
臺銀金山,130.3,150,1000,104D,0050,2023-12-05
臺銀金山,130.35,0,1000,104D,0050,2023-12-05
臺銀金山,130.4,500,0,104D,0050,2023-12-05
臺銀金山,130.5,0,1000,104D,0050,2023-12-05
臺銀金山,130.6,1000,10000,104D,0050,2023-12-05
企銀,129.9,1000,0,1110,0050,2023-12-05
企銀,130.15,1000,0,1110,0050,2023-12-05
企銀,130.25,10,0,1110,0050,2023-12-05
企銀,130.4,64,0,1110,0050,2023-12-05
企銀台中,130.25,500,0,1111,0050,2023-12-05
企銀台中,130.4,38,0,1111,0050,2023-12-05
