securities_trader,price,buy,sell,securities_trader_id,stock_id,date
凱基松山,130.25,0,896,9217,0050,2023-11-15
凱基松山,130.3,0,1000,9217,0050,2023-11-15
凱基松山,130.45,0,365,9217,0050,2023-11-15
凱基松山,130.5,0,1000,9217,0050,2023-11-15
凱基松山,130.55,183,2000,9217,0050,2023-11-15
凱基松山,130.6,0,204,9217,0050,2023-11-15
凱基松山,130.8,0,1000,9217,0050,2023-11-15
凱基松山,71.1,0,5000,9217,0051,2023-11-15
凱基松山,23.87,0,2000,9217,0055,2023-11-15
凱基松山,34.8,0,500,9217,0056,2023-11-15
凱基松山,34.9,100,0,9217,0056,2023-11-15
凱基松山,34.92,3000,0,9217,0056,2023-11-15
凱基松山,35.05,0,6000,9217,0056,2023-11-15
凱基松山,35.09,0,15000,9217,0056,2023-11-15
凱基松山,35.1,1000,0,9217,0056,2023-11-15
凱基松山,35.12,0,10000,9217,0056,2023-11-15
凱基松山,35.14,0,1000,9217,0056,2023-11-15
凱基松山,75.15,0,601,9217,006208,2023-11-15
凱基松山,4.68,67000,0,9217,00632R,2023-11-15
凱基松山,4.69,2000,0,9217,00632R,2023-11-15
凱基松山,13.28,0,5000,9217,00637L,2023-11-15
凱基松山,13.29,4000,0,9217,00637L,2023-11-15
凱基松山,13.34,100000,0,9217,00637L,2023-11-15
凱基松山,13.38,20000,0,9217,00637L,2023-11-15
凱基松山,13.54,0,100000,9217,00637L,2023-11-15
凱基松山,89.55,0,1000,9217,00670L,2023-11-15
凱基松山,89.7,70,0,9217,00670L,2023-11-15
凱基松山,4.62,10000,0,9217,00671R,2023-11-15
凱基松山,29.03,3000,0,9217,00679B,2023-11-15
凱基松山,29.06,1000,0,9217,00679B,2023-11-15
凱基松山,29.07,32000,0,9217,00679B,2023-11-15
凱基松山,29.08,2100,0,9217,00679B,2023-11-15
凱基松山,29.1,22000,0,9217,00679B,2023-11-15
凱基松山,29.11,1105,0,9217,00679B,2023-11-15
凱基松山,29.12,0,200000,9217,00679B,2023-11-15
凱基松山,8.38,5000,4000,9217,00680L,2023-11-15
凱基松山,8.39,42000,0,9217,00680L,2023-11-15
凱基松山,8.4,7000,3000,9217,00680L,2023-11-15
凱基松山,8.41,3000,0,9217,00680L,2023-11-15
凱基松山,30.04,0,1000,9217,00687B,2023-11-15
凱基松山,30.05,7000,0,9217,00687B,2023-11-15
凱基松山,30.1,0,200000,9217,00687B,2023-11-15
凱基松山,8.34,10000,0,9217,00688L,2023-11-15
凱基松山,8.35,0,10000,9217,00688L,2023-11-15
凱基松山,28.95,0,2000,9217,00690,2023-11-15
凱基松山,32.4,1000,0,9217,00692,2023-11-15
