securities_trader_id,securities_trader,date,address,phone
1020,合庫,2011-12-02,台北市大安區忠孝東路四段285號1樓(部分)、經紀部複委託科地址：台北市松山區長安東路二段225號5樓,02-27528000
1021,合庫- 台中,2011-12-02,台中市西區民權路91號6樓,04-22255141
1022,合庫-台南,2011-12-02,台南市北區成功路48號3樓,06-2260148
1023,合庫-高雄,2011-12-02,高雄市大勇路97號5樓,07-5319755
1024,合庫-嘉義,2011-12-02,嘉義市國華街279號2樓,05-2220016
1025,合庫-基隆,2011-12-02,基隆市仁二路255號3樓,02-24288468
1028,合庫 - 彰化,2012-05-16,彰化縣彰化市民生路279號5樓,04-7295528
1029,合庫 - 鳳山,2012-05-18,高雄市鳳山區鳳松路3號,07-7905555
102A,合庫-新竹,2011-12-02,新竹市東區東門街60號5樓,03-5262711
102C,合庫-自強,2011-12-02,台北市中山區南京東路2段85、87號3樓,02-25218815
102E,合庫-桃園,2011-12-02,桃園市桃園區中華路12號3樓,03-347-3456
102F,合庫-西台中,2016-02-04,台中市西屯區漢口路二段151號3樓,04-2316-6368
102G,合庫-三重,2016-03-07,新北市三重區正義南路17號1樓,02-2977-9588
102Q,合庫-國際證券,2017-11-01,台北市松山區長安東路二段225號5樓、6樓,02-27319987
1030,土銀,1962-02-09,台北市延平南路八十一號,02-23483948
1031,土銀-台中,1964-04-20,台中市自由路2段1號4樓,04-22266845
1032,土銀-台南,1975-08-19,台南市中正路26號4樓,06-2200558
1033,土銀-高雄,1964-04-20,高雄市大勇路131號,07-5319591
1034,土銀-嘉義,1975-04-09,嘉義市中山路309號3 樓,05-2224930
1035,土銀-新竹,1974-06-12,新竹市中央路1號4、5樓,03-5213211
1036,土銀-玉里,2000-04-18,花蓮縣玉里鎮中山路二段五十五號一、二樓,03-8884900
1037,土銀-花蓮,1978-02-16,花蓮縣花蓮市中山路356號3樓,038-330723
1038,土銀-和平,2000-06-22,台北市和平東路3段15號3樓部分,02-27001555
1039,土銀-士林,2000-06-27,台北市中山北路五段六八九號三樓,02-28323842
103A,土銀-建國,2000-06-12,高雄市建國一路458號3樓,07-2224911
103B,土銀-彰化,2002-07-30,彰化市光復路九十八號六樓,04-7201777
